"","id","duration","start_station_name","end_station_name","start_station_id","end_station_id","trip_status"
"1",139945,73,"5th at Howard","5th at Howard",57,57,"cancelled"
"2",139967,160,"California Ave Caltrain Station","California Ave Caltrain Station",36,36,"cancelled"
"3",140179,63,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"4",140429,126,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"5",140484,114,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"6",140715,69,"Mountain View City Hall","Mountain View City Hall",27,27,"cancelled"
"7",140734,64,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"8",141227,123,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"9",141388,66,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"10",142332,64,"Mechanics Plaza (Market at Battery)","Mechanics Plaza (Market at Battery)",75,75,"cancelled"
"11",143075,135,"Mountain View Caltrain Station","Mountain View Caltrain Station",28,28,"cancelled"
"12",143707,64,"Embarcadero at Folsom","Embarcadero at Folsom",51,51,"cancelled"
"13",144838,108,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"14",145292,152,"Mountain View City Hall","Mountain View City Hall",27,27,"cancelled"
"15",146812,148,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"16",147756,121,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"17",147842,90,"Mechanics Plaza (Market at Battery)","Mechanics Plaza (Market at Battery)",75,75,"cancelled"
"18",148495,71,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
"19",148593,86,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"20",148609,68,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
"21",150138,105,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"22",150244,75,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"23",151208,178,"San Francisco Caltrain 2 (330 Townsend)","San Francisco Caltrain 2 (330 Townsend)",69,69,"cancelled"
"24",151489,73,"2nd at South Park","2nd at South Park",64,64,"cancelled"
"25",151958,107,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"26",153060,110,"San Jose Diridon Caltrain Station","San Jose Diridon Caltrain Station",2,2,"cancelled"
"27",153181,111,"Market at 10th","Market at 10th",67,67,"cancelled"
"28",153206,128,"Embarcadero at Vallejo","Embarcadero at Vallejo",48,48,"cancelled"
"29",153280,62,"Yerba Buena Center of the Arts (3rd @ Howard)","Yerba Buena Center of the Arts (3rd @ Howard)",68,68,"cancelled"
"30",154409,166,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"31",154445,172,"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",73,73,"cancelled"
"32",155376,82,"Mountain View City Hall","Mountain View City Hall",27,27,"cancelled"
"33",155643,116,"San Jose Diridon Caltrain Station","San Jose Diridon Caltrain Station",2,2,"cancelled"
"34",155761,124,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"35",156239,85,"Embarcadero at Folsom","Embarcadero at Folsom",51,51,"cancelled"
"36",156344,127,"Market at 4th","Market at 4th",76,76,"cancelled"
"37",157057,74,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"38",157297,154,"Yerba Buena Center of the Arts (3rd @ Howard)","Yerba Buena Center of the Arts (3rd @ Howard)",68,68,"cancelled"
"39",157594,124,"Washington at Kearney","Washington at Kearney",46,46,"cancelled"
"40",157847,62,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"41",157986,95,"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)",72,72,"cancelled"
"42",158111,111,"Embarcadero at Vallejo","Embarcadero at Vallejo",48,48,"cancelled"
"43",158872,97,"San Jose Civic Center","San Jose Civic Center",3,3,"cancelled"
"44",159323,67,"Market at 10th","Market at 10th",67,67,"cancelled"
"45",159739,62,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"46",160325,88,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"47",160479,60,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"48",160856,71,"Redwood City Caltrain Station","Redwood City Caltrain Station",22,22,"cancelled"
"49",160925,101,"Davis at Jackson","Davis at Jackson",42,42,"cancelled"
"50",161966,85,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
