"","id","duration","start_station_name","end_station_name","outliers"
"1",150269,303271,"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)","outlier"
"2",150316,273811,"Powell Street BART","Grant Avenue at Columbus Avenue","outlier"
"3",166010,586356,"San Antonio Caltrain Station","San Antonio Caltrain Station","outlier"
"4",421286,560792,"Rengstorff Avenue / California Street","Mountain View Caltrain Station","outlier"
"5",417776,464952,"Market at 4th","Davis at Jackson","outlier"
"6",364842,318236,"Mountain View City Hall","Mountain View City Hall","outlier"
"7",364841,348910,"Mountain View City Hall","Mountain View City Hall","outlier"
"8",361321,715339,"Arena Green / SAP Center","Adobe on Almaden","outlier"
"9",323594,716480,"Harry Bridges Plaza (Ferry Building)","Civic Center BART (7th at Market)","outlier"
"10",311114,329715,"San Antonio Caltrain Station","San Antonio Caltrain Station","outlier"
"11",284683,517856,"Castro Street and El Camino Real","San Antonio Shopping Center","outlier"
"12",253382,284920,"Mountain View Caltrain Station","Castro Street and El Camino Real","outlier"
"13",237943,411846,"South Van Ness at Market","Civic Center BART (7th at Market)","outlier"
"14",237942,644771,"South Van Ness at Market","Clay at Battery","outlier"
"15",582110,295512,"Grant Avenue at Columbus Avenue","Powell Street BART","outlier"
"16",575758,378964,"Market at 10th","Market at 10th","outlier"
"17",568474,17270400,"South Van Ness at Market","2nd at Folsom","outlier"
"18",566610,404503,"Harry Bridges Plaza (Ferry Building)","2nd at Folsom","outlier"
"19",566584,403837,"Harry Bridges Plaza (Ferry Building)","Market at 10th","outlier"
"20",566582,410157,"Harry Bridges Plaza (Ferry Building)","2nd at Folsom","outlier"
"21",560258,305382,"Clay at Battery","Post at Kearny","outlier"
"22",522337,720454,"Redwood City Caltrain Station","Stanford in Redwood City","outlier"
"23",505416,352090,"Market at 10th","2nd at Townsend","outlier"
"24",504411,457110,"Market at 10th","Market at 10th","outlier"
"25",473196,489435,"Japantown","Japantown","outlier"
"26",456512,288430,"Paseo de San Antonio","Japantown","outlier"
"27",450239,324775,"Grant Avenue at Columbus Avenue","Harry Bridges Plaza (Ferry Building)","outlier"
